Week,Home,Away,HomeScore,AwayScore,Margin,PredProb,Confidence,Vegas,HomeRest,AwayRest,Temp,Wind,Roof,Surface,HomeTurnovers,AwayTurnovers,HomeRushEPA,AwayRushEPA,HomePassEPA,AwayPassEPA
1,KC,BAL,27.0,20.0,7.0,0.3315937181640837,0.16840628183591633,-3.0,7,7,N/A,N/A,unknown,unknown,1.0,1.0,-0.8725011348724365,8.459207534790039,11.084405899047852,-2.491159677505493
1,ATL,PIT,10.0,18.0,8.0,0.7179132892810863,0.21791328928108633,-4.0,7,7,N/A,N/A,unknown,unknown,2.0,0.0,-6.224772930145264,-5.234161376953125,-11.08485221862793,-1.3522766828536987
1,CIN,NE,10.0,16.0,6.0,0.7121818147192398,0.2121818147192398,-8.0,7,7,N/A,N/A,unknown,unknown,1.0,0.0,2.17753005027771,0.3665717840194702,-4.170614719390869,-1.9693797826766968
1,LAC,LV,22.0,10.0,12.0,0.4057560242047866,0.09424397579521337,-3.0,7,7,N/A,N/A,unknown,unknown,0.0,3.0,1.218462586402893,-18.512760162353516,-4.875879764556885,-1.2427046298980713
1,CLE,DAL,17.0,33.0,16.0,0.5103073405216244,0.010307340521624409,-2.5,7,7,N/A,N/A,unknown,unknown,2.0,0.0,4.08514928817749,0.12158305943012238,-23.11565589904785,-6.667337894439697
2,BAL,LV,23.0,26.0,3.0,0.9883672601608233,0.4883672601608233,-9.0,10,7,N/A,N/A,unknown,unknown,1.0,1.0,-1.6356536149978638,-7.332608699798584,0.953601598739624,-2.4161324501037598
2,DET,TB,16.0,20.0,4.0,0.8246421903548853,0.3246421903548853,-7.5,7,7,N/A,N/A,unknown,unknown,2.0,1.0,4.3167572021484375,-1.1627126932144165,-10.030844688415527,-3.4361798763275146
2,NE,SEA,20.0,23.0,3.0,0.6207248908897749,0.1207248908897749,3.5,7,7,N/A,N/A,unknown,unknown,0.0,0.0,3.8948445320129395,-7.552908897399902,-0.17010633647441864,9.293157577514648
2,PHI,ATL,21.0,22.0,1.0,0.785150030709245,0.28515003070924505,-5.5,10,8,N/A,N/A,unknown,unknown,1.0,0.0,5.256903171539307,-0.4358731806278229,1.8038243055343628,10.030101776123047
3,LA,SF,27.0,24.0,3.0,0.21243407767126932,0.2875659223287307,6.0,7,7,N/A,N/A,unknown,unknown,0.0,1.0,3.6793394088745117,-1.3017470836639404,2.897019386291504,14.322098731994629
4,ATL,NO,26.0,24.0,2.0,0.36892509725051015,0.13107490274948985,-2.5,7,7,N/A,N/A,unknown,unknown,1.0,1.0,2.073740243911743,4.319097518920898,-1.0691967010498047,-0.10868627578020096
4,CHI,LA,24.0,18.0,6.0,0.3431852107351445,0.15681478926485548,-3.0,7,7,N/A,N/A,unknown,unknown,0.0,2.0,-1.0305798053741455,4.495431900024414,2.083515167236328,-1.3406256437301636
4,NYJ,DEN,9.0,10.0,1.0,0.6159226484074829,0.1159226484074829,-7.5,10,7,N/A,N/A,unknown,unknown,1.0,1.0,-4.991026878356934,0.4171546697616577,-12.087542533874512,-12.965078353881836
4,LV,CLE,20.0,16.0,4.0,0.3436253438310765,0.1563746561689235,2.5,7,7,N/A,N/A,unknown,unknown,1.0,1.0,-4.670252323150635,0.19945883750915527,-3.7751781940460205,-6.922350883483887
5,CIN,BAL,38.0,41.0,3.0,0.5854150756167558,0.08541507561675576,2.5,7,7,N/A,N/A,unknown,unknown,1.0,1.0,-7.09296989440918,0.8258838653564453,23.611068725585938,21.24820899963379
5,JAX,IND,37.0,34.0,3.0,0.21824226391466092,0.28175773608533905,-3.5,7,7,N/A,N/A,unknown,unknown,2.0,1.0,2.4032158851623535,4.616836071014404,16.756685256958008,12.850539207458496
5,NE,MIA,10.0,15.0,5.0,0.791756510908851,0.291756510908851,2.0,7,6,N/A,N/A,unknown,unknown,0.0,1.0,4.393856525421143,-2.1098873615264893,-8.80810546875,-2.548429489135742
5,SF,ARI,23.0,24.0,1.0,0.6924377565470895,0.1924377565470895,-7.0,7,7,N/A,N/A,unknown,unknown,3.0,1.0,-1.7346605062484741,6.6069817543029785,-0.8968391418457031,-1.8273484706878662
5,SEA,NYG,20.0,29.0,9.0,0.9751851930342981,0.47518519303429807,-7.0,6,10,N/A,N/A,unknown,unknown,1.0,1.0,4.08941125869751,-7.476931571960449,-4.1201581954956055,7.590214252471924
5,PIT,DAL,17.0,20.0,3.0,0.9384107847313217,0.43841078473132167,-2.5,7,10,N/A,N/A,unknown,unknown,1.0,3.0,4.56597375869751,-2.189150810241699,-2.0389580726623535,10.677303314208984
6,BAL,WAS,30.0,23.0,7.0,0.48883767986530796,0.011162320134692039,-6.5,7,7,N/A,N/A,unknown,unknown,1.0,0.0,-2.4871463775634766,-3.7634074687957764,11.001631736755371,9.493135452270508
6,TEN,IND,17.0,20.0,3.0,0.7235174977569486,0.22351749775694862,-2.5,13,7,N/A,N/A,unknown,unknown,1.0,1.0,4.2584638595581055,-7.837674140930176,-5.6848626136779785,1.5733929872512817
6,DEN,LAC,16.0,23.0,7.0,0.690100837915179,0.19010083791517896,3.0,7,14,N/A,N/A,unknown,unknown,2.0,0.0,0.15607643127441406,-3.406039237976074,-2.5142769813537598,8.11574649810791
7,CLE,CIN,14.0,21.0,7.0,0.5292189346712315,0.02921893467123149,5.5,7,7,N/A,N/A,unknown,unknown,2.0,0.0,0.05145740509033203,-9.66343879699707,-13.014235496520996,-1.7718636989593506
