Week,Home,Away,Predicted,Actual,PredProb,VegasLine,Margin,HomeScore,AwayScore,HomeRest,AwayRest,Roof,Surface,Temp,Wind,HomeTurnovers,AwayTurnovers,HomeRushEPA,AwayRushEPA,HomePassEPA,AwayPassEPA
9,CAR,NO,NO,CAR,0.2944,7.0,1.0,23.0,22.0,7,7,unknown,unknown,N/A,N/A,1.0,0.0,0,0,0,0
10,CAR,NYG,NYG,CAR,0.3057,6.5,3.0,20.0,17.0,7,7,unknown,unknown,N/A,N/A,1.0,3.0,0,0,0,0
10,CHI,NE,CHI,NE,0.7138,-6.5,16.0,3.0,19.0,7,7,unknown,unknown,N/A,N/A,0.0,1.0,0,0,0,0
10,NO,ATL,ATL,NO,0.3683,3.5,3.0,20.0,17.0,7,7,unknown,unknown,N/A,N/A,0.0,1.0,0,0,0,0
10,WAS,PIT,WAS,PIT,0.5484,-1.5,1.0,27.0,28.0,7,13,unknown,unknown,N/A,N/A,0.0,2.0,0,0,0,0
10,ARI,NYJ,NYJ,ARI,0.4933,2.0,25.0,31.0,6.0,7,10,unknown,unknown,N/A,N/A,0.0,1.0,0,0,0,0
10,LA,MIA,LA,MIA,0.6094,-2.5,8.0,15.0,23.0,8,8,unknown,unknown,N/A,N/A,2.0,2.0,0,0,0,0
11,NO,CLE,CLE,NO,0.4865,1.0,21.0,35.0,14.0,7,14,unknown,unknown,N/A,N/A,2.0,0.0,0,0,0,0
11,NYJ,IND,NYJ,IND,0.6216,-4.0,1.0,27.0,28.0,7,7,unknown,unknown,N/A,N/A,0.0,1.0,0,0,0,0
11,PIT,BAL,BAL,PIT,0.4312,3.0,2.0,18.0,16.0,7,10,unknown,unknown,N/A,N/A,1.0,3.0,0,0,0,0
11,SF,SEA,SF,SEA,0.6849,-6.0,3.0,17.0,20.0,7,14,unknown,unknown,N/A,N/A,1.0,1.0,0,0,0,0
